a	b	eval0	eval1	eval2
4	4	34821.6	17193	-1.37719
5	4	130154	64978.3	-1.60373
6	4	431967	219298	-1.77819
7	4	1.32107e+06	684207	-1.91224
8	4	3.80999e+06	2.01686e+06	-2.01429
9	4	1.05237e+07	5.6999e+06	-2.09062
10	4	2.81463e+07	1.56061e+07	-2.14603
11	4	7.34842e+07	4.1717e+07	-2.18429
12	4	1.88438e+08	1.09523e+08	-2.20844
13	4	4.76927e+08	2.83726e+08	-2.22094
14	4	1.19599e+09	7.27997e+08	-2.22384
15	4	2.98108e+09	1.85581e+09	-2.21884
16	4	7.40495e+09	4.71215e+09	-2.20738
17	4	1.83706e+10	1.1943e+10	-2.19071
18	4	4.56004e+10	3.02688e+10	-2.16988
19	4	1.13429e+11	7.68279e+10	-2.14578
20	4	2.83113e+11	1.95543e+11	-2.11924
